 255  6  3
 254  251  192
 204  15  203
 211  11  204
 218  6  204
 210  7  208
 160  6  237
 218  10  200
 229  39  224
 221  42  223
 227  46  213
 190  49  212
 222  46  215
 231  42  219
 213  45  225
 205  43  227
 214  25  226
 209  45  244
 213  45  252
 211  45  1
 217  59  13
 219  8  49
 216  8  51
 212  251  53
 209  251  52
 209  247  47
 218  246  49
 206  251  48
 210  242  49
 212  242  48
 213  242  51
 214  242  54
 212  2  53
 217  242  54
 217  251  52
 218  252  57
 217  251  56
 214  250  53
 215  253  50
 227  242  58
 232  242  59
 233  241  60
 230  242  59
 230  242  59
 230  240  59
 221  242  56
 204  252  43
 212  246  46
 217  248  52
 216  248  52
 213  254  50
 214  247  51
 218  254  53
 214  255  56
 215  251  55
 218  235  52
 213  253  46
 208  3  51
 211  249  51
 213  250  51
 246  245  60
 251  238  55
 250  240  58
 254  232  61
 253  237  61
 2  244  62
 6  246  64
 6  239  63
 11  237  60
 11  236  57
 15  238  56
 17  239  55
 28  240  56
 32  239  51
 31  243  49
 43  245  44
 45  246  46
 44  254  42
 43  2  41
 41  1  36
 47  7  35
 47  7  35
 48  5  34
 50  8  32
 53  9  28
 53  7  27
 59  4  26
 67  254  23
 69  252  27
 67  254  22
 67  1  20
 62  11  23
 65  18  18
 52  21  16
 50  22  13
 53  22  10
 47  22  2
 47  19  249
 45  18  255
 43  10  246
 45  7  244
 49  5  249
 54  255  243
 47  6  249
 51  13  251
 56  12  254
 66  5  4
 65  3  5
 57  8  5
 58  12  5
 58  12  4
 61  6  6
 59  5  4
 56  6  4
 58  5  5
 61  1  5
 62  2  7
 59  3  4
 63  254  3
 57  253  7
 55  253  6
 58  248  4
 59  244  3
 60  249  1
 59  246  1
 56  246  255
 57  244  255
 56  240  2
 58  236  1
 55  236  3
 56  236  4
 57  233  6
 54  231  5
 54  226  5
 51  225  6
 51  221  7
 48  220  8
 46  218  8
 47  215  6
 43  215  6
 43  211  5
 42  209  5
 38  206  4
 35  202  4
 32  203  1
 28  198  1
 26  199  3
 5  195  4
 254  193  3
 252  194  5
 245  192  8
 241  193  4
 238  198  8
 234  194  10
 232  192  4
 227  191  9
 228  200  3
 215  202  254
 218  198  255
 209  204  254
 213  202  255
 211  205  1
 207  208  2
 198  220  7
 196  224  9
 195  225  1
 193  228  5
 196  226  4
 193  232  254
 190  237  252
 187  245  1
 189  250  5
 188  1  9
 187  5  9
 187  6  7
 191  3  6
 191  6  4
 189  26  253
 191  26  253
 196  19  252
 195  29  254
 197  30  255
 196  36  1
 201  35  255
 202  42  1
 205  42  255
 206  44  253
 209  46  253
 211  47  252
 213  48  250
 218  53  249
 221  53  249
